name,cases,date,day,diff
Belarus,0,2020-02-24,-35,NaN
Belarus,0,2020-02-25,-34,NaN
Belarus,0,2020-02-26,-33,NaN
Belarus,0,2020-02-27,-32,NaN
Belarus,1,2020-02-28,-31,Inf
Belarus,1,2020-02-29,-30,1
Belarus,1,2020-03-01,-29,1
Belarus,1,2020-03-02,-28,1
Belarus,1,2020-03-03,-27,1
Belarus,6,2020-03-04,-26,6
Belarus,6,2020-03-05,-25,1
Belarus,6,2020-03-06,-24,1
Belarus,6,2020-03-07,-23,1
Belarus,6,2020-03-08,-22,1
Belarus,6,2020-03-09,-21,1
Belarus,6,2020-03-10,-20,1
Belarus,6,2020-03-11,-19,1
Belarus,12,2020-03-12,-18,2
Belarus,21,2020-03-13,-17,1.75
Belarus,21,2020-03-14,-16,1
Belarus,27,2020-03-15,-15,1.2857142857142858
Belarus,27,2020-03-16,-14,1
Belarus,36,2020-03-17,-13,1.3333333333333333
Belarus,51,2020-03-18,-12,1.4166666666666667
Belarus,51,2020-03-19,-11,1
Belarus,57,2020-03-20,-10,1.1176470588235294
Belarus,69,2020-03-21,-9,1.2105263157894737
Belarus,76,2020-03-22,-8,1.1014492753623188
Belarus,81,2020-03-23,-7,1.0657894736842106
Belarus,81,2020-03-24,-6,1
Belarus,86,2020-03-25,-5,1.0617283950617284
Belarus,86,2020-03-26,-4,1
Belarus,86,2020-03-27,-3,1
Belarus,94,2020-03-28,-2,1.0930232558139534
Belgium,1,2020-02-06,-29,NA
Belgium,1,2020-02-07,-28,1
Belgium,1,2020-02-08,-27,1
Belgium,1,2020-02-09,-26,1
Belgium,1,2020-02-10,-25,1
Belgium,1,2020-02-11,-24,1
Belgium,1,2020-02-12,-23,1
Belgium,1,2020-02-13,-22,1
Belgium,1,2020-02-14,-21,1
Belgium,1,2020-02-15,-20,1
Belgium,1,2020-02-16,-19,1
Belgium,1,2020-02-17,-18,1
Belgium,1,2020-02-18,-17,1
Belgium,1,2020-02-19,-16,1
Belgium,1,2020-02-20,-15,1
Belgium,1,2020-02-21,-14,1
Belgium,1,2020-02-22,-13,1
Belgium,1,2020-02-23,-12,1
Belgium,1,2020-02-24,-11,1
